month,day,event
3,13,Secretary of State Rex Tillerson is fired (effective March 31) by President Trump. CIA Director Mike Pompeo is nominated to replace him.
3,14,"Democrat Conor Lamb wins the 2018 special Congressional election in Pennsylvania's 18th congressional district, previously considered a safe seat for Republicans."
3,14,"The Senate passes, by 67 to 31, a bill to reform the Dodd–Frank Wall Street Reform and Consumer Protection Act, a set of post-financial crisis rules."
3,14,"President Trump appoints Larry Kudlow to be Director of the National Economic Council, succeeding Gary Cohn."
3,15,"A pedestrian bridge collapses at Florida International University, resulting in 6 fatalities."
3,16,"Former FBI deputy director Andrew McCabe is dismissed for ""lack of candor"" days before he was due to retire with pension rights. McCabe denies the claims and insists he was targeted because of his involvement in the Russia inquiry."
3,16,"Facebook suspends Cambridge Analytica, a data firm accused of mishandling Facebook user profiles."
3,19,"Uber suspends all of its self-driving cars worldwide after a woman is killed by one of the vehicles in Tempe, Arizona."
3,19,"British TV station, Channel 4, airs a documentary about Cambridge Analytica, the data analysis company that worked for Donald Trump's presidential campaign. Undercover reporters, talking to executives from the firm, discover the use of bribes, honey traps, fake news campaigns and operations with ex-spies to swing election campaigns around the world."
3,19,"California residents are ordered to evacuate ahead of a storm described as an ""atmospheric river""."
3,20,"Facebook founder Mark Zuckerberg receives a formal request from the British government to answer questions regarding Cambridge Analytica and the ""catastrophic failure of process"" behind the data breach."
3,21,It is reported that the Opioid epidemic may be worse than previously thought due to omissions on death certificates.
3,22,President Trump announces tariffs on up to $60bn in Chinese goods and plans to limit the country's investment in the US. The Dow Jones falls sharply in response.
3,22,President Trump replaces his National Security Adviser H. R. McMaster with former United Nations ambassador John Bolton.
3,25,Advocates warn that Congress needs to devote more money to address the growing opioid epidemic.
3,26,"Six children are killed by their adoptive mothers, Jennifer and Sarah Hart, when their SUV intentionally drives over a California cliff in a mass murder-suicide. Both perpetrators were known to have abused their six children before the crash."
3,26,President Trump orders the expulsion of 60 Russian diplomats following the ex-spy poisoning case in the UK.
3,28,At least 12 states are reported to be suing the Trump administration over inclusion of a citizenship question on the 2020 census.
3,29,Russia announces it will expel 60 US diplomats and close the US Consulate in St. Petersburg in retaliation for the US expelling 60 Russian diplomats.
3,29,"President Trump nominates Ronny Jackson, current physician to the President, to replace Veterans Affairs Secretary David Shulkin."
3,29,"Mark Zuckerberg disavows a 2016 memo on Facebook's expansion plans, saying in a statement that Andrew Bosworth ""is a talented leader who says many provocative things. This was one that most people at Facebook including myself disagreed with strongly. We've never believed the ends justify the means."""
4,3,"Three people suffer gunshot wounds when a female shooter, Nasim Najafi Aghdam, attacks the YouTube headquarters in California, before killing herself."
4,4,"China announces 25% tariffs on 106 US Products, including cars and soybeans."
4,4,"Thousands of people gather in Memphis, Tennessee, to mark the 50th anniversary of Martin Luther King's assassination."
4,6,"The Trump administration imposes sanctions on seven Russian oligarchs and 17 senior government officials, accusing them of ""malign activity around the globe""."
4,9,"The FBI raids the home, office and hotel room of President Trump's long-time lawyer, Michael Cohen, pursuant to a federal search warrant."
4,10,"Facebook founder and CEO Mark Zuckerberg is questioned in a joint session of several US senate committees, after the revelation that 87 million people had their private information accessed by Cambridge Analytica."
4,11,House of Representatives Speaker Paul Ryan announces that he will not run for re-election in November.
4,13,President Trump orders targeted strikes in Syria to retaliate for a suspected chemical weapons attack.
4,17,"Southwest Airlines Flight 1380, a Boeing 737-700 suffers an engine failure at cruise altitude, debris enters the fuselage causing substantial damage to the aircraft and loss of cabin pressure and diverts at Philadelphia International Airport. One passenger dies and seven are injured."
4,18,Coffee chain Starbucks is the subject of racism accusations when two black men are arrested at its Philadelphia store when asked to used a restroom reserved for paying customers.
4,19,Jim Bridenstine is confirmed as the next NASA administrator.
4,20,"Smallville actress Allison Mack appears in court on charges of sex trafficking, sex trafficking conspiracy and forced labor conspiracy."
4,22,"Four people are killed at a Waffle House restaurant in Nashville, Tennessee, when a naked gunman shoots them with a semi-automatic rifle before fleeing on foot. The gunman is captured the next day after a manhunt."
4,23,"French President Emmanuel Macron arrives in the U.S. for a three-day visit, during which he meets President Trump and makes a speech to Congress."
4,24,"Joseph James DeAngelo, a suspect in the Golden State Killer case, is apprehended after law enforcement matched his DNA to the serial rapist and murder."
4,26,TV star Bill Cosby is found guilty of three counts of aggravated indecent assault.
4,26,CIA Director Mike Pompeo is confirmed as Secretary of State by the Senate.
4,26,Veteran TV anchor Tom Brokaw is accused of sexual harassment by a former NBC News anchor.
5,1,"A study conducted by health services company Cigna reveals that American adults are experiencing a ""loneliness epidemic"" with nearly half of Americans reporting they sometimes or always feel alone (46 percent) or left out (47 percent)."
5,2,"The state of Iowa approves the so-called ""heartbeat"" bill, banning most abortions once a fetal heartbeat is detected."
5,2,"A C-130 military plane crash in Savannah, Georgia kills nine people."
5,2,"Following a series of small earthquakes, the USGS warns that the Kīlauea volcano in Hawaii could erupt. Two days later it erupts, there are stronger earthquakes and Hawaii declares a state of emergency, evacuating 1,700 residents."
5,4,"The national unemployment rate hits 3.9 percent, the lowest rate since 2000."
5,4,"The Trump administration announces an end to the special Temporary Protected Status program for 57,000 Hondurans."
5,5,"NASA's InSight spacecraft, designed to study the interior and subsurface of Mars, successfully launches at 11:05 UTC, with an expected arrival on 26 November 2018."
5,5,"The state of California becomes the world's fifth-largest economy, with the state's GDP surpassing that of the United Kingdom's."
5,5,"In horse racing, pre-race favorite Justify wins the 144th running of the Kentucky Derby, becoming the first horse since 1882 to win the race while unraced as a two-year-old. The race was run under the wettest conditions in its history; by post time, more than 2.8 inches (7.1 cm) of rain had fallen on race day, breaking a record that had lasted since 1918."
5,8,"The Senate Intelligence Committee releases an unclassified version of its investigation into Russian cyberattacks in 2016, concluding: ""Russian-affiliated cyber actors were able to gain access to restricted elements of election infrastructure. [...] In a small number of states, these cyber actors were in a position to, at a minimum, alter or delete voter registration data; however, they did not appear to be in a position to manipulate individual votes or aggregate vote totals."""
5,8,New York's attorney general Eric Schneiderman resigns over multiple allegations of assault.
5,8,"President Trump announces his intention to withdraw the United States from the Iranian nuclear agreement. In a statement, former U.S. President Barack Obama calls the move ""a serious mistake""."
5,8,The National Centers for Environmental Information reports that April 2018 was the coldest month in the U.S. since 1997.
5,9,"The California Energy Commission introduces its 2019 Building Energy Efficiency Standards, requiring all new homes to be fitted with solar power from 2020. It is the first state in the US to enact such a law."
5,10,"At around 2 a.m. local, President Trump ceremoniously greets three freed Korean-Americans, who were detained by North Korea for more than a year for ""anti-state activities"", on Joint Base Andrews in Maryland."
5,10,NASA's Carbon Monitoring System (CMS) is cancelled by the Trump administration.
5,11,U.S. fighter jets intercept two Russian TU-95 bombers in Alaskan airspace.
5,16,President Trump meets with Shavkat Mirziyoyev.
5,17,"The Kīlauea shield volcano on the Big Island of the state of Hawaii erupts from its summit, shooting ash 30,000 feet (9,100 m) into the sky."
5,18,A school shooting takes place at Santa Fe High School in Texas. Eight students and two teachers are killed and ten other people are injured it is only the second school shooting to take place following the Marjory Stoneman Douglas shooting in February.
5,20,"U.S. Treasury Secretary Steven Mnuchin states that the Trump administration will put its proposed tariffs on Chinese imports ""on hold"", averting fears of a trade war between the two countries."
5,21,"The Supreme Court, in a 5-4 ruling, upholds a law preventing employees from filing class action lawsuits against their employers over pay and hour disputes."
5,23,"It is reported that Donald Trump's personal lawyer, Michael Cohen, received a secret payment of at least $400,000 to fix talks between the Ukrainian president and President Trump."
5,24,Actor Morgan Freeman is accused of sexual harassment by eight women.
5,25,Harvey Weinstein is charged with rape and several other counts of sexual abuse involving two separate women after turning himself in to police in New York City.
5,28,"The Center for the Study of the Drone at New York's Bard College estimates that just over 900 law enforcement agencies, fire departments, and emergency services across the country are now using drones, no longer seen as a novelty by officials."
5,29,"ABC TV cancels comedian Roseanne Barr's show after she tweets a racist comment, likening Valerie Jarrett to an ape."
5,29,Missouri Governor Eric Greitens announces his resignation (effective June 1) amid a sex scandal.
5,29,Starbucks temporarily closes its stores for one day to undergo racial sensitivity training following an incident in April in which two black men were arrested in its Philadelphia store.
5,30,"By a majority of 23–12, the California State Senate votes to approve a bill that would reinstate the net neutrality regulations repealed by the Federal Communications Commission in December."
5,30,The FDA approves the first artificial iris.
5,31,"The Trump administration announces that it will extend its tariffs on imported steel (25%) and aluminium (10%) to include the EU, Mexico and Canada, starting at midnight."
6,4,"In a 7-2 decision (Masterpiece Cakeshop v. Colorado Civil Rights Commission), the Supreme Court rules in favor of a Colorado baker who, citing the First Amendment's protection of religion, refused to create a customized wedding cake for a homosexual couple."
6,7,The Washington Capitals defeat the Vegas Golden Knights in game five of the 2018 Stanley Cup Finals to give the Capitals their first Stanley Cup in franchise history and the first championship for the city of D.C. since the Redskins won Super Bowl XXVI. Capitals left-winger Alex Ovechkin is the series MVP.
6,8,"The U.S. Department of Energy's Oak Ridge National Laboratory unveils Summit as the world's most powerful supercomputer, with a peak performance of 200,000 trillion calculations per second, or 200 petaflops."
6,8,"Celebrity chef Anthony Bourdain dies of suicide while shooting an episode of his show in Strasbourg, France."
6,8,"The Golden State Warriors defeat the Cleveland Cavaliers, four games to none, to win the NBA Championship."
6,8,"9 At the G7 summit in Canada, President Trump pushes for the reinstatement of the G8 (to include Russia). He also proposes the elimination of tariffs."
6,11,"12 – In a historic first, President Trump meets with Supreme Leader of North Korea, Kim Jong-un, in Singapore."
6,14,"The Sand Blaster roller coaster on the Daytona Beach boardwalk derails. Six people are taken to hospital, with two suffering traumatic injuries."
6,15,A judge cancels Paul Manafort's bail and orders that he be jailed for alleged witness tampering.
6,17,"A shooting at an all-night arts festival in Trenton, New Jersey, leaves one person dead and seventeen people injured."
6,18,"70 former U.S. Attorneys deliver a letter to Jeff Sessions, urging that he end his ""dangerous, expensive, zero tolerance"" migrant policy, which separates children at the border, calling it ""inconsistent with the values of the institution in which we served."""
6,18,"Rapper XXXTentaction is shot and killed in Deerfield Beach, FL on the same day fellow rapper Jimmy Wopo is also shot and killed in his hometown of Pittsburgh."
6,19,The United States announces that it will withdraw from the United Nations Human Rights Council.
6,19,"Koko, a western Lowland gorilla largely known for having learned to communicate in American Sign Language, dies in her sleep in California."
6,19,"Antwon Rose Jr. a 17 year old African-American man is shot and killed by white Pittsburgh police officer Michael Rosfeld.
June 22- Jahi McMath who was declared brain-dead following a tonsillectomy in 2013 dies in Oakland, California."
6,19,"June 22- Jahi McMath who was declared brain-dead following a tonsillectomy in 2013 dies in Oakland, California."
6,25,Motorcycle manufacturer Harley-Davidson announces that it will shift some production outside the U.S. as a result of retaliatory tariffs introduced by the European Union.
6,25,"Epidiolex, for the treatment of epilepsy, becomes the first drug derived from marijuana to win federal approval."
6,26,The Supreme Court upholds President Trump's travel ban in a 5-4 decision.
6,27,"In a landmark 5-4 decision that overturns Abood v. Detroit Board of Education (1977), the Supreme Court rules in Janus v. AFSCME that it is a violation of the First Amendment for public-sector unions to compel non-members to pay fair-share representation fees."
6,27,"Associate Justice Anthony Kennedy announces that he will retire from the Supreme Court on July 31, prompting Senate Majority Leader Mitch McConnell to vow that Kennedy's successor will be confirmed by the fall."
6,28,The 2018 North American heat wave begins.
6,28,"575 women protesting U.S. Immigration and Customs Enforcement are arrested during a demonstration outside the Hart Senate Office Building in Washington, D.C.."
6,28,"Five people are killed in a mass shooting in the newsroom of The Capital newspaper in Annapolis, Maryland."
6,28,Mass arrests of Occupy ICE demonstrators are made by Homeland Security agents at an ICE facility in Portland Oregon.
6,30,Hundreds of thousands of people demonstrate across all 50 U.S. states against family separations carried out by the United States.
7,5,"Scott Pruitt resigns as the Administrator of the Environmental Protection Agency, effective July 6. He is replaced by Andrew Wheeler."
7,6,"U.S. tariffs on $34 billion of Chinese goods come into effect, as President Trump suggests the final total could reach $550bn. China accuses the U.S. of starting the ""largest trade war in economic history"" and announces immediate retaliatory tariffs."
7,9,"President Trump nominates Brett Kavanaugh, a circuit judge of the United States Court of Appeals for the District of Columbia Circuit, to become an Associate Justice for the Supreme Court of the United States."
7,11,President Trump attends the NATO Summit in Brussels.
7,12,"President Trump arrives in the UK. The four-day visit includes talks with Theresa May, tea with the Queen and a trip to Scotland. There are mass protests in London, featuring a 'Trump baby' blimp flown over Westminster."
7,13,Special counsel Mueller charges 12 Russian intelligence officers with hacking during the 2016 election.
7,16,"President Trump meets with Russian President Vladimir Putin for private talks in the Finnish capital Helsinki. In a press conference afterwards, Trump praises Russia and Putin, drawing sharp criticism from both Republicans and Democrats alike. Senator John McCain describes it as ""one of the most disgraceful performances by an American president in memory."""
7,18,"In an interview with CBS News, President Trump says he holds Putin personally responsible for interference in the 2016 US election; a sharp contrast to his earlier comments in Helsinki."
7,19,The Trump administration proposes limiting habitat protections for endangered species.
7,19,"17 people die after an amphibious ""duck boat"" capsizes while carrying 31 tourists on Table Rock Lake, Missouri."
7,19,President Trump invites Vladimir Putin to visit America.
7,20,"The New York Times reports that President Trump's former lawyer Michael Cohen secretly recorded his client discussing payments to Karen McDougal, a former Playboy model who says she had an affair with Trump."
7,26,"Tesfaye Cooper is convicted of hate crime and aggravated kidnapping charges in Illinois and sentenced to seven years in prison for his role in the 2017 Chicago torture incident. He is the fourth and final member of an African-American group to be convicted in relation to the kidnapping of a mentally disabled white man in Chicago who livestreamed their torture of him on Facebook, shouting ""F*** Trump"" and ""F*** white people"" while doing so."
7,26,"The share price of Facebook drops by almost 20 percent after the company warns investors that user growth has slowed following the Cambridge Analytica data leak scandal. More than $109bn is wiped from its market value, the biggest stock market loss in corporate history, which includes a $14.5bn personal loss for founder Mark Zuckerberg."
7,26,"Michael Avenatti, the attorney for porn star Stormy Daniels, claims he is representing three other women who were allegedly paid by Donald Trump, AMI and Michael Cohen to keep quiet."
7,28,John Delaney announces his candidacy for U.S. president in 2020.
7,29,"Wildfires in northern California continue to rage across vast swathes of land, destroying hundreds of structures and causing several deaths."
8,1,"President Trump calls for the Russia investigation to end ""right now"", urging Attorney General Jeff Sessions to halt the inquiry into alleged election meddling, while accusing special counsel Robert Mueller of being ""totally conflicted""."
8,2,The U.S. Department of Commerce proceeds with applying revised tariffs on Canadian newsprint.
8,2,"Apple, Inc. becomes the first public company to achieve a market capitalization of $1 trillion, as its share price exceeds a new record high above $207."
8,5,"President Trump admits that his eldest son, Donald Trump Jr., attended a meeting at Trump Tower during the 2016 election campaign ""to get information on an opponent,"" but insists it was ""totally legal and done all the time in politics - and it went nowhere. I did not know about it!"""
8,6,The ongoing wildfires in California are officially declared as the largest in the state's history.
8,7,The U.S. reimposes sanctions on Iran.
8,7,"Harvard University has four Black women faculty deans for the first time in history: Michelle Ann Williams (School of Public Health), Tomiko Brown-Nagin (Radcliffe Institute for Advance Study), Bridget Terry Long (Graduate School of Education), and Claudine Gay (Faculty of Arts and Sciences)."
8,8,Missouri voters vote against the right-to-work law by 67% to 33%.
8,10,"In a landmark case, Monsanto is ordered to pay $289m to 46-year-old Dewayne Johnson, after a jury rules that the company's Roundup weedkiller caused his terminal cancer and that the corporation failed to warn him of the health hazards."
8,10,"A Horizon Air Bombardier Dash 8 Q400 is stolen from Seattle–Tacoma International Airport with no passengers on board, prompting F15 fighter jets to scramble and intercept. After being contacted by Seattle/Tacoma air traffic control, the plane crashes near Ketron Island in Pierce County, Washington, killing the 29-year-old male pilot."
8,10,The Democratic National Committee reverses its ban on accepting donations from the fossil fuel industry.
8,12,NASA launches the Parker Solar Probe to study the Sun at close range and the solar wind.
8,12,"The Unite the Right 2 rally is held at Lafayette Square near the White House in Washington, D.C.. Organized by Jason Kessler to mark the anniversary of the 2017 Unite the Right rally in Charlottesville, Virginia, which ended in violence, the rally attracts some 20 to 30 of Kessler's supporters and thousands of counter-demonstrators amid a heavy police presence."
8,14,"Nebraska executes Carey Dean Moore, who was convicted of murder, in the state's first execution for 21 years and the first by lethal injection."
8,15,"Former CIA Director John O. Brennan, an outspoken critic of Trump, has his security clearance revoked by the President. The move is criticized as political retribution for Brennan's comments."
8,21,"Police in Iowa announce they have found a body in Poweshiek County during their investigation into the Disappearance of Mollie Tibbetts. They were led to the site by suspect Cristhian Bahena Rivera, an undocumented immigrant."
8,21,"Michael Cohen, who worked as a lawyer for Donald Trump from 2006 until May 2018, pleads guilty to eight charges: five counts of tax evasion, one count of making false statements to a financial institution, one count of willfully causing an unlawful corporate contribution, and one count of making an excessive campaign contribution at the request of a candidate or campaign."
8,21,"Paul Manafort, the former election campaign chairman for Trump, is convicted on eight out of eighteen charges of tax and bank fraud."
8,22,"Mark Chapman, the man who shot and killed former Beatle John Lennon in 1980, is denied parole for the tenth time."
8,23,Intelligence specialist Reality Winner is sentenced to five years and three months in prison as part of a plea deal after pleading guilty to felony transmission of national defense information.
8,25,"Arizona Senator John McCain dies from glioblastoma at the age of 81 at his home in Cornville, Arizona."
8,26,"A mass shooting occurs during a Madden NFL 19 tournament at the Jacksonville Landing in Jacksonville, Florida, resulting in three fatalities including the perpetrator."
8,28,"California approves S.B. 100, a proposal to transition the state to 100% emissions-free electricity sources by 2045."
9,5,"In an editorial in The New York Times, an unnamed senior Trump official writes that members of the administration are working to frustrate parts of the President's agenda to protect the country from his ""worst inclinations"". Trump responds by calling the anonymous writer ""gutless"" and the newspaper ""phony""."
9,5,Hurricane Florence becomes the first major hurricane of the 2018 Atlantic hurricane season.
9,8,"The Cortlandt Street subway station reopens in Lower Manhattan, 17 years after it was destroyed by the 9/11 attacks."
9,14,"Hurricane Florence makes landfall in North Carolina, with evacuation warnings in place for more than a million people."
9,15,"NASA launches ICESat-2, the agency's most technologically advanced ice-monitoring spacecraft to date."
9,16,For only the fourth time in its 72-year history Chick-Fil-A opens breaks its longstanding tradition and opens its doors on a Sunday to provide food for the victims of Hurricane Florence that struck North Carolina. The restaurant chain is typically closed on Sundays because of the owner's religious beliefs but makes a rare exception in an emergency situation
9,22,Christine Blasey Ford agrees to testify against Brett Kavanaugh the following week.
9,23,A second woman comes forward with sexual misconduct claims against Brett Kavanaugh.
9,25,"TV star Bill Cosby, 81, is given a three to 10-year jail term for drugging and molesting a woman in 2004. Judge Steven O'Neill designates Cosby a ""sexually violent predator"", meaning he must undergo counselling for life and be listed on the sex offender registry."
9,26,A third woman accuses Brett Kavanaugh of sexual misconduct.
9,27,Christine Blasey Ford appears before a Senate Judiciary Committee to give evidence against Brett Kavanaugh.
9,27,The Securities and Exchange Commission (SEC) files a suit in New York alleging securities fraud by Tesla CEO Elon Musk.
10,2,"The Washington Post journalist Jamal Khashoggi is murdered inside the Saudi consulate in Istanbul, triggering a diplomatic crisis between the U.S. and Saudi Arabia."
10,6,"The Senate confirms Brett Kavanaugh's Supreme Court nomination by a vote of 50–48, amid controversy over sexual assault claims against him."
10,6,"Twenty people are killed in a crash involving a limousine transporting birthday party guests in Schoharie County, New York. It is the deadliest transport crash in the U.S. since Colgan Air Flight 3407, also in New York state, which claimed 50 lives in 2009."
10,9,"America's ambassador to the UN, Nikki Haley, a senior Trump cabinet member, resigns unexpectedly."
10,10,"Hurricane Michael approaches the Florida Panhandle, attaining peak wind speeds of 155 mph (250 km/h) and becoming the strongest hurricane to ever make landfall in that region."
10,17,After 50 years of performing the characters Big Bird and Oscar the Grouch longtime Sesame Street puppeteer Caroll Spinney announces his retirement in 2015 Spinney's role was limited to voice only due to health problems.
10,20,"President Trump announces that the US will ""terminate"" the Intermediate-Range Nuclear Forces Treaty over alleged Russian violations."
10,24,"After a bomb was found at the home of George Soros in the suburbs of New York, suspected explosive devices are also sent to former US President Barack Obama and ex-Secretary of State Hillary Clinton. The latter devices are intercepted by technicians who screen mail sent to former US officials. The Time Warner building in New York (home to news broadcaster CNN) is also evacuated, after a package containing an explosive and suspicious powder is found addressed to former CIA Director John Brennan. Additional suspicious packages, addressed to Democratic Representative Maxine Waters and former Attorney General Eric Holder, are investigated by law enforcement."
10,25,"A suspicious package is found in Tribeca, New York City, addressed to actor Robert De Niro. Authorities also find two packages in Delaware, addressed to former Vice President Joe Biden."
10,26,"Two more suspicious packages are found, addressed to New Jersey senator Cory Booker and the former director of national intelligence, James Clapper."
10,26,"The perpetrator, Cesar Sayoc Jr., is captured in Plantation, Florida, in connection with the mail bombing attempts. He is questioned by FBI agents with the Joint Terrorism Task Force."
10,27,The Cathedral of Learning which normally lights up following Pitt's football victories is darkened on this day out of respect to the 11 victims killed in this morning's shooting at Tree of Life Synagogue.
10,28,"The Boston Red Sox defeat the Los Angeles Dodgers, four games to one, to win their ninth World Series Championship."
10,29,"800 U.S. soldiers are deployed to the Mexico–United States border as a part of Operation Faithful Patriot, reinforcing the border against incoming Central American migrant caravans."
10,30,"NASA announces that its Kepler space telescope mission has ended, with the telescope having run out of fuel two weeks before, after nine-and-a-half years in space. The telescope discovered 2,681 exoplanets, with a further 2,900 candidates at the time of its retirement. The spacecraft also discovered that there are more planets than stars in our galaxy."
10,30,"The Supreme Court of Hawaii approves the resumption of construction on Mauna Kea of one of the world's biggest telescopes, the Thirty Meter Telescope, costing $1.4 billion. Some native Hawaiians, regarding the mountain as sacred, opposed the construction since 2015."
10,30,Memorial services are held for the victims of the Tree of Life synagogue shooting that had occurred three days earlier among the attendees are members of the Pittsburgh Steelers who attend the service of Cecil and David Rosenthal sister of former community relations manager Michele Rosenthal. Steelers coach Mike Tomlin moves his press conference from noon to 1:00 so he can attend the service.
11,2,"Bohemian Rhapsody, a biographical film about Queen singer Freddie Mercury, is released in theaters. The film documents the life and career of Mercury including Queen's 1985 performance at Live Aid."
11,6,"Mid-term elections: The Democrats gain 40 seats to take control of the House of Representatives, but lose two seats in the Senate."
11,6,Gubernatorial elections: The Democrats gain seven new seats.
11,6,Michigan becomes the tenth state to legalize recreational marijuana.
11,7,Attorney General Jeff Sessions tenders his resignation at President Trump's request.
11,7,"13 people, including the perpetrator, are killed in a shooting at the Borderline Bar and Grill about 40 miles (65 km) north-west of Los Angeles."
11,8,"The White House shares apparently doctored footage posted by InfoWars, a conspiracy theory website, showing Jim Acosta making contact with a Trump aide, in a bid to justify its suspension of the CNN reporter's press pass."
11,8,"Federal judge Brian Morris of the U.S. Court in Montana rules that the Keystone Pipeline cannot be built until a new Environmental impact assessment is completed. Four months later, on March 30, 2019, President Donald Trump issued a new permit."
11,8,"25 – Major wildfires in California, including the Woolsey in southern California and Camp to the north, leave 91 dead and at least 1,000 missing, with more than 250,000 residents forced to flee. President Trump suggests that wildfires could be stopped by spending ""a lot of time on raking and cleaning""."
11,23,Volume II of the Fourth National Climate Assessment (NCA4) is released.
11,26,SpongeBob SquarePants creator Stephen Hillenburg dies at the age of 57 from ALS.
