month,day,event
3,15,"Robert Gentile, 82, whom federal authorities believe is a person of interest in the $500 million Isabella Stewart Gardner Museum theft, is released from federal custody."
3,15,The New Mexico legislature votes to replace Columbus Day with Indigenous Peoples' Day.
3,17,The Washington State Senate approves legislation that would legally require all presidential candidates to release the last five years of their personal tax returns in order to have their names featured on both primary and general election voting ballots.
3,17,"The University of Tennessee announces it will guarantee free tuition and fees to admitted in-state residents with a family household income of less than $50,000."
3,18,Floods across the Midwest kill at least three people and inflict hundreds of millions of dollars in damage.
3,19,American Karen Uhlenbeck is the first woman to win the Abel Prize for outstanding contributions to mathematics.
3,20,The International 2019 Major League Baseball season begins with the Oakland Athletics and the Seattle Mariners playing in Japan at the Tokyo Dome.
3,21,"Cesar Sayoc, 57, the Florida man accused of the October 2018 United States mail bombing attempts, pleads guilty in Manhattan federal court to 65 felony counts, including using weapons of mass destruction in an attempted domestic terrorist attack."
3,22,"Jimmy Carter becomes the longest-living U.S. president at 94 years, 172 days old."
3,22,Special Counsel Robert Mueller turns in the report of his nearly two-year investigation on whether the Trump campaign helped Russia interfere in the 2016 presidential election.
3,22,The Department of Defense declares that the Islamic State militant group no longer controls any territory in Syria. The U.S.-backed Syrian Democratic Forces declare victory over the group the following day.
3,23,"For the second time in a week, a survivor of the 2018 Stoneman Douglas High School shooting in Parkland, Florida, commits suicide. On March 17, Sydney Aiello, 19, committed suicide after being diagnosed with post-traumatic stress disorder."
3,24,Attorney General William Barr sends members of Congress a four page letter outlining the principle conclusions of the Mueller Report.
3,25,Kentucky outlaws bestiality.
3,25,Attorney Michael Avenatti is arrested in New York on charges of attempting to extort more than $20 million from sports company Nike. He is also charged with wire and bank fraud in a separate case in Los Angeles.
3,25,"Jeremy Richman, father of 6-year-old Avielle Richman, who was among 20 children and six adults killed in the 2012 Sandy Hook Elementary School shooting in Newtown, Connecticut, is found dead from an apparent suicide. This follows recent suicides by two survivors of the Stoneman Douglas High School shooting."
3,26,The House of Representatives fails to reach the supermajority needed to override President Trump's veto of Congress's attempt to overturn the border wall emergency declaration.
3,26,"""Bump stocks"" are made illegal in the United States."
3,28,The 2019 Major League Baseball season has its earliest season opener in history.
3,29,A judge in eastern North Carolina declares a charter school's dress code unconstitutional.
3,29,"Fire destroys a building that housed executive offices at the Highlander Research and Education Center in New Market, Tennessee; arson is suspected."
3,30,President Trump issues a new permit to construct the Keystone Pipeline.
3,31,"A 23rd horse is reported to have died at Santa Anita racetrack in California, the latest in a string of deaths occurring since December 2018."
4,1,"Bucklew v. Precythe: the Supreme Court rules 5–4 that death row inmates are not guaranteed ""painless"" executions under the U.S. Constitution."
4,1,The U.S. halts the delivery of F-35 fighter jet-related equipment to Turkey to protest the country's planned purchasing of Russia's S-400 missile defense system.
4,1,"The Colorado legislature passes a red flag law, allowing seizure of guns from people deemed a threat to themselves or others."
4,1,Two airports in New York join San Antonio International Airport in banning concessions to Chick-fil-A restaurants due to the company's anti-LGBTQ record.
4,1,"Firefighters in Asbury Park, New Jersey put out a forest fire that burned 11,638 acres (18 square miles) in two days."
4,2,"Lori Lightfoot wins the run-off in the 2019 Chicago mayoral election, becoming the first black woman to hold the post and the first openly gay Chicago mayor."
4,2,"Prosecutors in Waco, Texas decide to not go ahead with prosecution of individuals allegedly involved in the 2015 Waco shootout that left nine dead and 20 people injured."
4,2,"An explosion at a chemical plant in Crosby, Texas leaves one dead and two injured. This comes just weeks after a similar Houston-area explosion in Deer Creek, Texas on March 17."
4,3,"Representative Richard Neal, chair of the House Ways and Means Committee, sends a letter to the Internal Revenue Service asking for President Trump's tax returns. Meanwhile, the House Judiciary Committee votes to subpoena the Mueller Report."
4,3,"The Pittsburgh City Council votes for new gun laws, including a ban on certain semiautomatic assault weapons."
4,4,"The 1973 War Powers Resolution is invoked for the first time when the House votes 247–175 to end U.S. military assistance to Saudi Arabia in its intervention in the Yemeni Civil War; the Senate voted 54–46 on the bill in March 2019. President Trump vetoes the bill on April 16, the second veto of his presidency."
4,6,"Arson is suspected as the cause of three fires in historically black churches since March 26 in St. Landry Parish, Louisiana. A fourth, smaller fire was set at a majority-white church in Caddo Parish on March 31. The culprit in the case of the three black churches is arrested and charged on April 11."
4,6,Wrestling legend Bret Hart is attacked by a fan at the WWE Hall Of Fame induction ceremony at the Barclays Center in Brooklyn. The attacker is identified as Zachary Madsen from Nebraska; Madsen is charged with two counts of assault and trespassing.
4,8,"Joining Saudi Arabia and Bahrain, the Trump administration announces its intentions to designate Iran's Islamic Revolutionary Guard Corps as a terrorist group. The official designation takes place on April 15."
4,11,"Federal prosecutors announce a 36-count indictment against lawyer Michael Avenatti, including bank fraud, embezzlement, tax evasion and wire fraud."
4,11,Federal prosecutors indict Obama-era White House Counsel Greg Craig on charges of lying and hiding information related to his work for Ukraine.
4,11,"Ohio passes legislation to ban abortion at six weeks, the fifth state to do so."
4,15,"Former Massachusetts governor Bill Weld officially announces his candidacy in the 2020 presidential election. He will run as a Republican primary challenger to incumbent President Donald Trump, the first to do so."
4,16,"Apple and Qualcomm settle a multi-year legal dispute regarding patent royalties. The deal between the two tech giants helps, among other arrangements, pave the way for Apple to have 5G iPhones on the market by 2020."
4,18,A redacted version of the final Mueller Report is released by Attorney General William Barr to Congress and the general public. The report goes into detail on findings from the 2017–2019 Special Counsel probe regarding Russian contacts with the 2016 Donald Trump election campaign and matters regarding obstruction of justice by President Trump himself.
4,23,"Wing Aviation, a Google offshoot company, becomes the first drone delivery service to receive Air Carrier Certification from the Federal Aviation Administration."
4,25,"Former Vice President Joe Biden announces his candidacy for the 2020 presidential election, expanding the field to a record 20 candidates, the largest field of presidential candidates in U.S. history."
4,25,"A manhunt is launched for man caught on CCTV attempting to set fire to the National Archives Building in Washington, D.C. The suspect, Jacob Leroy Wallace, 32, is later arrested on May 2."
4,27,"A mass shooting occurs at the Chabad of Poway synagogue in Poway, California on the last day of Passover, resulting in one death and three injuries."
4,28,"Undersea explorer Victor Vescovo sets a new world record for the deepest ever sea dive at 10,972 metres (35,997 ft) in the Pacific Ocean's Mariana Trench. Several unusual things are discovered at the bottom, including four new species of prawn-like crustaceans and a new species of snailfish."
4,30,"A school shooting takes place at the University of North Carolina at Charlotte, leaving two people dead and four injured."
4,30,Minneapolis Police Officer Mohamed Noor is convicted of third-degree murder and manslaughter for shooting and killing Australian woman Justine Damond after she called 9-1-1 to report the possible assault of a woman.
5,1,Maine becomes the first state to ban Styrofoam containers.
5,2,"After designating them ""dangerous individuals and organizations"", social media giant Facebook purges InfoWars, Nation of Islam leader Louis Farrakhan, prominent white nationalist Paul Nehlen, right-wing figures Milo Yiannopoulos, Laura Loomer, Paul Joseph Watson and others from all of its platforms, including Instagram. After notable partisan outcry, President Trump later tweets on the matter, decrying perceived targeted censorship against conservatives on social media platforms by private corporations. Facebook responds that the bans were not ideologically motivated."
5,2,Mayor of Baltimore Catherine Pugh announces her resignation from office amid state and federal investigations into whether she used bulk sales of her self-published children's book to disguise kickbacks.
5,3,"New economic data shows that the U.S. unemployment rate fell from 3.8 percent to 3.6 percent in April 2019, the lowest in 49 years, with employers adding 263,000 jobs in April versus the expected 190,000."
5,4,"For the first time in American history, the winners of the Miss America (Nia Franklin), Miss Teen USA (Kaliegh Garris), and Miss USA (Cheslie Kryst) beauty contests are all black women."
5,4,"At the 2019 Kentucky Derby, longshot contender Country House wins the race after Maximum Security is disqualified, despite being the first across the finish line."
5,5,"National security adviser John Bolton announces the U.S. will deploy the USS Abraham Lincoln (CVN-72) Carrier Strike Group and four B-52 bombers to the Middle Eastern theater to ""send a clear and unmistakable message"" to Iran following Israeli intelligence reports of an alleged Iranian plot to attack U.S. forces in the region. The military would later deploy the USS Arlington (LPD-24) Marine transport ship and a Patriot SAM battery to the Middle East as well."
5,6,"According to Gallup's tracking poll, President Donald Trump's approval rating reaches 46%, the highest of his presidency thus far."
5,6,"Professional golfer Tiger Woods is awarded the Presidential Medal of Freedom, becoming the fourth (and the youngest) active golfer to have received the medal."
5,6,The Arizona Senate declares pornography to be a public health crisis.
5,7,"A school shooting occurs at the STEM School Highlands Ranch in Douglas County, Colorado, leaving one dead and seven injured."
5,8,"The New York Times publishes newly obtained tax information revealing that from 1985 to 1994, Donald Trump lost $1.17 billion from his various businesses – a far greater amount than previously known, and more than any tax payer in U.S. history."
5,8,"Denver, Colorado, becomes the first city in the U.S. to decriminalize psychedelic mushrooms, in a vote of 51 to 49%."
5,10,"At 12:00 a.m. EST, President Trump's proposed 25 percent tariff hike on $200 billion worth of Chinese imports takes effect, escalating tensions between the two nations amid the ongoing China–United States trade war. The deadline hits as negotiations between trade representatives continued."
5,13,"2019 college admissions bribery scandal: Actress Felicity Huffman pleads guilty to conspiracy to commit mail fraud and honest services mail fraud and admits to paying $15,000 for a proctor to change her daughter's SAT answers."
5,14,"Abortion is outlawed in the state of Alabama, except for cases where a woman's life is threatened or a lethal fetal anomaly is present. The anti-abortion law, written to serve as a catalyst for a legal challenge against the Roe v. Wade ruling, is set to go into effect in November."
5,14,San Francisco becomes the first U.S. city to ban the use of facial recognition technology.
5,15,President Trump issues an executive order invoking the International Emergency Economic Powers Act in response to security threats from foreign telecom companies such as Huawei.
5,16,"New York City mayor Bill de Blasio announces his candidacy in the 2020 presidential election, expanding the Democratic primary field to a record 24 candidates, already the largest presidential primary field for any political party in American history."
5,17,"The U.S. reaches a deal with Mexico and Canada to lift steel and aluminum tariffs imposed in May 2018, paving the way for further ratification of the United States–Mexico–Canada Agreement (USMCA), the trade agreement set to replace the North American Free Trade Agreement (NAFTA)."
5,17,Japan lifts its ban on U.S. beef imports that were from cattle older than 20 months of age.
5,17,"30 – A major tornado outbreak strikes the Central United States, killing at least eight people and causing ""catastrophic"" damage in many areas."
5,21,"Washington becomes the first state to legalize human composting, the right to allow people to have their body turned into soil after death. The process is seen as an alternative to traditional cremations and burials."
5,22,"The Alabama Historical Commission announces that the wreckage of the Clotilda, the last known slave ship to bring African slaves to the United States during the Atlantic slave trade, is found in the Mobile River."
5,23,"California native John Walker Lindh, a former Taliban fighter and the first person to be convicted of a crime in the War on Terror, is released from federal prison after serving 17 years of a 20-year sentence."
5,24,"President Trump authorizes the deployment of 1,500 additional troops to the Middle East amid regional tensions with Iran."
5,24,Federal judge Carlton Reeves temporarily blocks a Mississippi law banning abortions after the sixth week of pregnancy.
5,26,"Simon Pagenaud wins the Indianapolis 500, driving a Dallara-Chevrolet for Team Penske. It was Pagenaud's first win in the event and Penske's 18th."
5,30,"2019 measles outbreak: The Centers for Disease Control and Prevention reports that, thus far in 2019, there have been 971 cases of measles in the U.S., the highest level in more than 25 years."
5,30,"President Trump announces his intentions to apply a 5 percent tariff on all Mexican imports, effective June 10, to pressure Mexico to do more to crack down on a surge in Central American migrants trying to cross the U.S. southern border. The tariffs are to increase to 10 percent on July 1, and by another 5 percent each month for three months. The tariffs are averted on June 7."
5,30,"Louisiana bans abortions at six weeks of pregnancy, joining five other states that have passed heartbeat bills that ban abortions six weeks into a pregnancy – the earliest a fetal heartbeat can be detected."
5,30,New Hampshire becomes the 21st state to abolish the death penalty.
5,31,"12 people are killed, including the perpetrator, and four are injured in a mass shooting at a municipal center in Virginia Beach, Virginia."
6,3,"Jay-Z becomes the first hip-hop billionaire, according to Forbes magazine."
6,7,"NASA announces that, beginning in 2020, the International Space Station will be commercialized, allowing private companies to use the station to conduct for-profit activities, including marketing, advertising and space manufacturing."
6,10,United Technologies and Raytheon agree to a merger. The resultant company is projected to be the second largest defense and aerospace contractor in the U.S.
6,10,"A helicopter crashes onto the roof of the AXA Equitable Center in New York City, killing the pilot."
6,11,Alabama legalizes chemical castration as a stipulation for child sex offenders applying for parole; the law goes into effect September 1.
6,12,"Illinois Governor J. B. Pritzker signs a law making abortion a ""fundamental right"" for pregnant individuals in the state."
6,12,"At least two dozen police officers and two journalists are injured in overnight riots in Memphis, Tennessee after U.S. Marshals kill a 20-year-old black man, Brandon Webber, during an attempted arrest."
6,12,"The St. Louis Blues defeat the Boston Bruins 4 games to 3, to win their first Stanley Cup Championship."
6,14,Gov. Ron DeSantis signs a bill making Florida the 12th state to ban sanctuary cities.
6,18,"Twelve Federal Police agents are sentenced to 34 years of prison for the August 24, 2012 murder of two CIA agents in Tres Marias, Morelos, Mexico."
6,19,"Keith Raniere, leader of sex cult NXIVM, is found guilty of all charges against him in a New York court."
6,20,2019 Iranian shoot-down of American drone: President Trump orders then aborts conventional military strikes against Iran after the shoot-down of an RQ-4A surveillance drone over the Strait of Hormuz. He reportedly approves cyber attacks against Iranian missile systems.
6,21,Journalist and advice columnist E. Jean Carroll accuses President Trump of having sexually assaulted her in a Bergdorf Goodman department store dressing room in the mid-1990s.
6,23,"In a public stunt, two members of The Flying Wallendas successfully walk a quarter-mile tightrope 25 stories above Times Square."
6,24,"President Trump signs an executive order sanctioning Iranian Supreme Leader Ali Khamenei, the first such sanctions in history."
6,25,San Francisco becomes the first major U.S. city to ban the sale of e-cigarettes.
6,27,"Rucho v. Common Cause and Benisek v. Lamone: The Supreme Court rules 5–4 that federal courts are constitutionally powerless to hear challenges to excessive partisan gerrymandering, leaving it up to states and Congress to legally address the issue."
6,27,"During a 2020 Democratic Party presidential primaries debate, Moderator and NBC ""Today"" host Savannah Guthrie asked the 10 Democratic primary candidates on stage if their health plans would provide coverage for the estimated 11 million people living in the U.S. illegally. Every candidate raised their hands. One study predicts this would cost American taxpayers up to $23 billion a year."
6,30,"During a three-way meeting at the Korean Demilitarized Zone with South and North Korean leaders, President Trump becomes the first sitting U.S. president to set foot on North Korean territory. Both Trump and North Korean leader Kim Jong-un pledge to restart stalled nuclear negotiations between the two countries."
6,30,"Ten people are killed when a twin-engine Beechcraft BE-350 King Air crashes into a hangar, shortly after take-off at Addison Airport, Texas."
7,4,"In a one-hour Independence Day event titled Salute to America, President Donald Trump becomes the first U.S. president in nearly seven decades to address a crowd at the National Mall during the holiday. President Harry Truman had previously done so in 1951."
7,4,"Southern California is hit by a 6.4 magnitude earthquake, the largest in the region since 1994."
7,5,"A second, stronger earthquake of 7.1 magnitude hits Southern California. There are no reported casualties."
7,6,Billionaire financier and registered sex offender Jeffrey Epstein is arrested on federal charges of sex trafficking and additionally charged by the Southern District of New York with sex trafficking and with conspiracy to traffic minors in Florida and New York.
7,6,"At least 20 people are injured, two seriously, by an apparent gas explosion at a shopping mall in Plantation, Florida."
7,7,"The U.S. women's soccer team wins their fourth World Cup, defending their status as the No. 1 team in the world and renewing their campaign for pay equity."
7,9,"Billionaire Tom Steyer announces his candidacy for the 2020 U.S. Presidential Election, on the Democratic Party ticket."
7,11,"The Dow Jones Industrial Average exceeds 27,000 points for the first time in its history."
7,11,Singer R. Kelly is arrested in Chicago on federal sex trafficking charges—it is the first time he faces federal criminal charges.
7,12,"Labor Secretary Alexander Acosta announces his resignation amid controversy over his prosecution of a 2007 sex crimes case against Jeffrey Epstein, the details of which resurfaced following Epstein's July 6 arrest."
7,12,"In a 3–2 vote, the Federal Trade Commission approves a record $5 billion fine on Facebook to settle an investigation into data privacy violations."
7,13,"A blackout occurs in Manhattan's West Side, affecting 73,000 customers. The blackout occurs exactly 42 years after the New York City blackout of 1977."
7,13,"Hurricane Barry approaches the Gulf Coast, becoming the first hurricane of the 2019 season, with a sustained wind speed of 75 mph (120 km/h)."
7,13,"Willem Van Spronsen, a self-described Antifa member armed with a rifle and incendiary devices, attacks an Immigration and Customs Enforcement detention center in Washington state. Van Spronsen fires several shots at the detention center, throws incendiary devices, and sets vehicles on fire. While attempting to ignite a propane tank, Van Spronsen is shot and killed by Tacoma police officers."
7,14,"President Trump sparks controversy over remarks directed at four Democratic congresswomen that were widely perceived as racist; Trump sharply denies the comments were racist. The House of Representatives votes 240–187 to condemn the President's remarks two days later. The controversy persisted as Trump supporters chanted similar remarks at a subsequent rally in Greenville, North Carolina on July 18. Trump disavowed the chant the next day."
7,16,20 – The 50th anniversary of the Apollo 11 mission is observed.
7,17,"Joaquín ""El Chapo"" Guzmán, former head of the Sinaloa cartel, which became the biggest supplier of drugs to the US, is sentenced to life in prison plus 30 years."
7,24,"Ricardo Rosselló, governor of Puerto Rico, announces he will resign on August 2 following revelations of his participation in a chat group with sexist, profane, and homophobic comments."
7,25,Attorney General William Barr reinstates the death penalty for federal crimes. The federal government also schedules the execution of five death row inmates.
7,25,Senate Majority Leader Mitch McConnell blocks legislation to improve election security less than 24 hours after Special Counsel Robert Mueller warns of the continued threat of interference in American elections.
7,25,"Sixteen Marines are arrested at Camp Pendleton, California for human trafficking and drug-related offenses. Two others had been arrested on July 3."
7,25,"Five women (Alexandria ""Ally"" Kostial, 21; Zaria Newton, 20; Arykah Patrice White, 16; Lisa Nguyen, 59; and Shayna Catherine Cline, 19) are killed in Mississippi in separate incidents within 24 hours. All five were killed by firearms."
7,25,"Three students from the University of Mississippi, members of Kappa Alpha fraternity, post a photo on Instagram taken at the Emmett Till Memorial that is widely seen as racist. The students are suspended by the fraternity but not charged with a hate crime."
7,28,"Four people, including the shooter, are killed and twelve others injured in a mass shooting in Gilroy, California."
7,30,"The InterContinental Hotels Group (IHG), owner of Holiday Inn and other hotels, announces it will stop using small soap and shampoo containers in order to cut down on plastic waste. Marriott International and Hilton Hotels & Resorts have made similar announcements."
7,31,"The Federal Reserve cuts interest rates for the first time since 2008, with a 0.25% reduction to a baseline level of 2–2.25%."
7,31,"Leslie McCrae Dowless faces new charges of electoral fraud in North Carolina. Dowless was arrested in 2017 and charged with trying to rig the election in North Carolina's 9th Congressional District in favor of Mark Harris, the Republican candidate."
8,2,The U.S. officially withdraws from the Intermediate-Range Nuclear Forces Treaty established with Russia in 1987.
8,2,"Dozens of jailed immigrants are pepper-sprayed by Immigration and Customs Enforcement (ICE) agents during a protest in Bossier Parish, Louisiana."
8,2,"Puerto Rico governor Ricardo Rossello resigns, and Pedro Pierluisi (who was appointed secretary of state on July 31) takes the oath of office to succeed him."
8,3,"2019 El Paso shooting: A mass shooting occurs at a Walmart near the Cielo Vista Mall in El Paso, Texas, resulting in 23 fatalities and 23 injured."
8,4,"2019 Dayton shooting: A mass shooting occurs in the Oregon Historic District in downtown Dayton, Ohio, resulting in 10 fatalities (including the perpetrator) and 27 injuries."
8,7,The Supreme Court of Puerto Rico rules that Pedro Pierluisi's swearing in as governor was unconstitutional and removes him from office. Secretary of Justice Wanda Vázquez Garced becomes governor.
8,8,The largest U.S. immigration raids in a decade result in 680 arrests in Mississippi.
8,9,The North Dakota Supreme Court upholds a voting law that disenfranchises 10% of the state's Native Americans.
8,10,"2020 Democratic candidates for President speak at a gun forum sponsored by Everytown for Gun Safety,  in Des Moines, Iowa."
8,10,"The FBI, the Justice Department's inspector general and the New York City medical examiner launch inquiries following the death of Jeffrey Epstein in a Manhattan jail while awaiting trial on sex trafficking charges."
8,12,"The Trump administration issues new rules that reject applicants for temporary or permanent visas for failing to meet income standards or for receiving public assistance such as welfare, food stamps, public housing or Medicaid."
8,12,"The Department of Interior revises its implementation of the Endangered Species Act of 1973 including preventing the Fish and Wildlife Service from automatically offering full endangered species protections to wildlife classified as ""threatened""."
8,12,FBI agents raid Jeffrey Epstein's private Caribbean island amid ongoing investigations into alleged sex trafficking.
8,14,"An employee of the U.S. Immigration and Customs Enforcement drives a truck through a group of peaceful protesters from Never Again Action, injuring several."
8,14,"Mylan N.V., Teva Pharmaceutical Industries Ltd., and Heritage Pharmaceuticals Inc. are accused of blocking a Congressional investigation into rising drug prices."
8,15,Former Colorado governor John Hickenlooper withdraws from the 2020 Presidential election campaign.
8,15,The government of Israel denies visas to Representative Ilhan Omar (D-MN) and Rashida Tlaib (D-MI).
8,16,Denmark rejects the suggestion that the United States might purchase Greenland.
8,17,"Protests are held in Portland that rally: Proud Boys Three Percenters, a “patriot movement” militia group, and American Guard. They are met with three times as many counter protesters."
8,17,18 – Anti-gun rallies are held in over 100 cities in all 50 states.
8,20,"Richard Ross Jr., police commissioner of Philadelphia, resigns amid allegations that members of his department engaged in sexual harassment and racial and gender discrimination against women serving in the ranks."
8,21,Washington governor Jay Inslee announces the end of his 2020 presidential bid.
8,22,"A federal grand jury in Los Angeles charges 80 people, mostly Nigerians, in a conspiracy to steal and then launder millions of dollars. 14 people are arrested."
8,23,"The first recorded death due to vaping is announced by the Centers for Disease Control and Prevention (CDC), amid concern over a mystery lung disease in the United States, linked to the use of e-cigarettes."
8,23,NASCAR bans advertisements of “assault-style rifles/sniper rifles.”
8,26,Johnson & Johnson is ordered to pay $572 million for contributing to the opioid crisis in Oklahoma.
8,28,New York senator Kirsten Gillibrand withdraws from the 2020 Democratic Party presidential primaries.
8,28,16-year-old Swedish student Greta Thunberg arrives in New York Harbor after sailing across the Atlantic. Thunberg plans to testify at a UN summit on zero emissions.
8,29,"A federal judge in Georgia rules that the state must replace all of its voting machines or use paper ballots in time for the March 24, 2020 Presidential primary election. Several faulty voting machines were reported during the Mississippi gubernatorial primary on August 27."
8,31,"Midland–Odessa shooting: Seven people are killed and 21 others wounded in a shooting in West Texas, between the cities of Midland and Odessa. The suspect is shot and killed by police outside a movie theater in Odessa."
9,2,"An early-morning fire on a dive boat off San Miguel Island and Santa Cruz Island, California results in 25 dead and 9 missing."
9,3,"The San Francisco Board of Supervisors passes a resolution calling the NRA a ""domestic terrorist organization""."
9,3,Walmart announces they will stop selling handgun ammunition and certain types of ammo for short-barrelled rifles. Kroger asks shoppers to refrain from openly carrying guns even if it is legal. Other major retailers follow suit.
9,3,The Cherokee Nation names an official delegate to the United States Congress for the first time.
9,4,CNN hosts ten town hall meetings for as many Democratic presidential hopefuls to discuss climate change.
9,6,"Hurricane Dorian makes landfall on Cape Hatteras, North Carolina as a Category 1 storm. 350,000 residents and businesses in North Carolina and South Carolina are left without electricity."
9,6,"Following three deaths, the Centers for Disease Control and Prevention recommends against the use of electronic cigarettes."
9,6,"The Artificial Intelligence and Technology Office (AITO) is established, as part of the Department of Energy."
9,7,President Trump announces he called off planned Camp David peace talks with the Taliban after they claimed responsibility for the September 5th Kabul bombings which killed a U.S. soldier.
9,8,"Mark Sanford, former governor and US representative from South Carolina announces his candidacy for the 2020 Republican presidential nomination."
9,9,"The inspector general of Intelligence, Michael Atkinson, notifies the House Intelligence Committee about an ""urgent"" and ""credible"" whistleblower complaint involving an apparent July 25 telephone call in which President Donald Trump promised  Ukrainian president Volodymyr Zelensky $250 million if he would reopen an investigation into Hunter Biden son of former Vice President Joe Biden. The White House denies doing anything wrong and refuses to release the complaint."
9,10,National Security Advisor John R. Bolton is dismissed by President Trump.
9,10,Two former senior FEMA officials are arrested on charges of bribery in relation to Hurricane Maria relief.
9,12,Former Illinois and Florida nursing home owner Philip Esformes is convicted of $1.3 billion Medicare fraud and sentenced to 20 years in prison.
